"record","year","month","day","length","weight","fit","res"
473,2016,11,26,33,310,5.716,0.021
474,2016,11,30,72,3550,8.173,0.002
475,2016,12,2,31,210,5.519,-0.172
476,2016,12,5,58,1900,7.492,0.058
477,2016,12,11,37,420,6.076,-0.036
478,2016,12,14,80,4090,8.505,-0.189
479,2017,10,27,36,450,5.99,0.119
480,2017,11,2,39,550,6.242,0.068
481,2017,11,3,38,440,6.16,-0.073
482,2017,11,9,50,1100,7.025,-0.021
483,2017,11,10,55,1800,7.325,0.171
484,2017,11,10,52,1320,7.148,0.037
485,2017,11,12,19,60,3.977,0.117
486,2017,11,14,52,1510,7.148,0.172
487,2017,11,14,65,2790,7.851,0.083
488,2017,11,14,44,810,6.622,0.075
489,2017,11,18,63,2130,7.752,-0.089
490,2017,11,25,28,170,5.198,-0.062
491,2017,11,25,40,560,6.322,0.006
492,2018,10,7,42,880,6.475,0.305
493,2018,10,29,44,720,6.622,-0.043
494,2018,11,1,22,80,4.439,-0.057
495,2018,11,3,63,2290,7.752,-0.016
496,2018,11,10,25,130,4.841,0.026
497,2018,12,1,62,1870,7.702,-0.168
498,2018,12,11,51,1220,7.087,0.02
499,2018,12,15,47,910,6.83,-0.016
500,2018,12,15,69,3180,8.039,0.026
